Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
0,0.4000,8.811537637262E+01,4.652376000654E+00,15.7080
0,0.4010,8.745170585885E+01,4.532633939085E+00,15.6688
0,0.4020,8.679122103008E+01,4.413492005833E+00,15.6298
0,0.4030,8.613401766943E+01,4.294939408111E+00,15.5910
0,0.4040,8.548023340656E+01,4.176963837423E+00,15.5524
0,0.4050,8.482964107269E+01,4.059571151377E+00,15.5140
0,0.4060,8.418213835953E+01,3.942760595394E+00,15.4758
0,0.4070,8.353782168384E+01,3.826522039186E+00,15.4378
0,0.4080,8.289682891835E+01,3.710844040855E+00,15.4000
0,0.4090,8.225865423882E+01,3.595744025956E+00,15.3623
0,0.4100,8.162391819073E+01,3.481189389414E+00,15.3248
0,0.4110,8.110222574904E+01,3.394729442778E+00,15.2876
0,0.4120,8.058306936752E+01,3.308687857253E+00,15.2504
0,0.4130,8.006642855644E+01,3.223061671313E+00,15.2135
0,0.4140,7.955224530086E+01,3.137849433210E+00,15.1768
0,0.4150,7.904060400608E+01,3.053044095645E+00,15.1402
0,0.4160,7.853138451577E+01,2.968646715533E+00,15.1038
0,0.4170,7.802465100981E+01,2.884651231830E+00,15.0676
0,0.4180,7.752030427698E+01,2.801057794177E+00,15.0315
0,0.4190,7.701840869956E+01,2.717860538506E+00,14.9957
0,0.4200,7.651888591258E+01,2.635058826315E+00,14.9600
0,0.4210,7.608294364487E+01,2.572064405857E+00,14.9244
0,0.4220,7.564917086629E+01,2.509364251965E+00,14.8891
0,0.4230,7.521725172606E+01,2.446966241552E+00,14.8539
0,0.4240,7.478741220451E+01,2.384860225077E+00,14.8188
0,0.4250,7.435957700770E+01,2.323046106959E+00,14.7840
0,0.4260,7.393386454051E+01,2.261517732410E+00,14.7493
0,0.4270,7.351018053447E+01,2.200275683458E+00,14.7147
0,0.4280,7.308831431153E+01,2.139323763351E+00,14.6803
0,0.4290,7.266845832153E+01,2.078653743602E+00,14.6461
0,0.4300,7.225051577572E+01,2.018266046217E+00,14.6121
0,0.4310,7.188260647045E+01,1.968370677823E+00,14.5782
0,0.4320,7.151663700063E+01,1.918699149885E+00,14.5444
0,0.4330,7.115208391326E+01,1.869263698145E+00,14.5108
0,0.4340,7.078940413199E+01,1.820050226780E+00,14.4774
0,0.4350,7.042834482863E+01,1.771063556843E+00,14.4441
0,0.4360,7.006882394527E+01,1.722303785429E+00,14.4110
0,0.4370,6.971119620787E+01,1.673760377294E+00,14.3780
0,0.4380,6.935493270204E+01,1.625444360547E+00,14.3452
0,0.4390,6.900033357035E+01,1.577346638166E+00,14.3125
0,0.4400,6.864732737895E+01,1.529467124670E+00,14.2800
0,0.4410,6.831892412167E+01,1.496491413763E+00,14.2476
0,0.4420,6.799179413395E+01,1.463669105414E+00,14.2154
0,0.4430,6.766639600727E+01,1.430989035764E+00,14.1833
0,0.4440,6.734215103781E+01,1.398462305163E+00,14.1513
0,0.4450,6.701969809692E+01,1.366074337794E+00,14.1195
0,0.4460,6.669837909256E+01,1.333837501118E+00,14.0879
0,0.4470,6.637853959228E+01,1.301743490416E+00,14.0563
0,0.4480,6.606038130311E+01,1.269787325859E+00,14.0250
0,0.4490,6.574332868256E+01,1.237979004979E+00,13.9937
0,0.4500,6.542774595097E+01,1.206310321523E+00,13.9626
0,0.4510,6.513744647364E+01,1.182834554132E+00,13.9317
0,0.4520,6.484819971447E+01,1.159466530293E+00,13.9009
0,0.4530,6.456046327746E+01,1.136197163812E+00,13.8702
0,0.4540,6.427372294238E+01,1.113034728877E+00,13.8396
0,0.4550,6.398855583784E+01,1.089968345846E+00,13.8092
0,0.4560,6.370448524797E+01,1.067005457613E+00,13.7789
0,0.4570,6.342161787135E+01,1.044143375968E+00,13.7488
0,0.4580,6.313991079421E+01,1.021381970600E+00,13.7187
0,0.4590,6.285968377119E+01,9.987153155196E-01,13.6889
0,0.4600,6.258036504981E+01,9.761517768281E-01,13.6591
0,0.4610,6.232164088832E+01,9.613577660633E-01,13.6295
0,0.4620,6.206372652571E+01,9.466323729584E-01,13.6000
0,0.4630,6.180719767542E+01,9.319662303732E-01,13.5706
0,0.4640,6.155154391124E+01,9.173665694018E-01,13.5413
0,0.4650,6.129722141196E+01,9.028260369887E-01,13.5122
0,0.4660,6.104376106114E+01,8.883510752166E-01,13.4832
0,0.4670,6.079163651076E+01,8.739342516711E-01,13.4544
0,0.4680,6.054027997006E+01,8.595832653015E-01,13.4256
0,0.4690,6.029032563123E+01,8.452885684714E-01,13.3970
0,0.4700,6.004112585638E+01,8.310588174658E-01,13.3685
0,0.4710,5.980923544656E+01,8.198415855387E-01,13.3401
0,0.4720,5.957836781211E+01,8.086712059348E-01,13.3118
0,0.4730,5.934816739301E+01,7.975520880214E-01,13.2837
0,0.4740,5.911920818564E+01,7.864760894212E-01,13.2557
0,0.4750,5.889125318679E+01,7.754460639139E-01,13.2278
0,0.4760,5.866394751383E+01,7.644662795089E-01,13.2000
0,0.4770,5.843786445709E+01,7.535288483593E-01,13.1723
0,0.4780,5.821249792638E+01,7.426399727387E-01,13.1447
