Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
0,0.4000,8.811537637262E+01,4.649557127313E+00,15.7080
0,0.4010,8.745170585885E+01,4.529847561859E+00,15.6688
0,0.4020,8.679122103008E+01,4.410733566383E+00,15.6298
0,0.4030,8.613401766943E+01,4.292210707361E+00,15.5910
0,0.4040,8.548023340656E+01,4.174274595166E+00,15.5524
0,0.4050,8.482964107269E+01,4.056920883525E+00,15.5140
0,0.4060,8.418213835953E+01,3.940145268985E+00,15.4758
0,0.4070,8.353782168384E+01,3.823943490389E+00,15.4378
0,0.4080,8.289682891835E+01,3.708311328355E+00,15.4000
0,0.4090,8.225865423882E+01,3.593244604766E+00,15.3623
0,0.4100,8.162391819073E+01,3.478739182268E+00,15.3248
0,0.4110,8.110222574904E+01,3.392308563657E+00,15.2876
0,0.4120,8.058306936752E+01,3.306297511157E+00,15.2504
0,0.4130,8.006642855644E+01,3.220702977070E+00,15.2135
0,0.4140,7.955224530086E+01,3.135521943148E+00,15.1768
0,0.4150,7.904060400608E+01,3.050751420233E+00,15.1402
0,0.4160,7.853138451577E+01,2.966388447909E+00,15.1038
0,0.4170,7.802465100981E+01,2.882430094157E+00,15.0676
0,0.4180,7.752030427698E+01,2.798873455016E+00,15.0315
0,0.4190,7.701840869956E+01,2.715715654249E+00,14.9957
0,0.4200,7.651888591258E+01,2.632953843009E+00,14.9600
0,0.4210,7.608294364487E+01,2.569986959374E+00,14.9244
0,0.4220,7.564917086629E+01,2.507318496988E+00,14.8891
0,0.4230,7.521725172606E+01,2.444946339389E+00,14.8539
0,0.4240,7.478741220451E+01,2.382868390081E+00,14.8188
0,0.4250,7.435957700770E+01,2.321082572299E+00,14.7840
0,0.4260,7.393386454051E+01,2.259586828779E+00,14.7493
0,0.4270,7.351018053447E+01,2.198379121528E+00,14.7147
0,0.4280,7.308831431153E+01,2.137457431601E+00,14.6803
0,0.4290,7.266845832153E+01,2.076819758877E+00,14.6461
0,0.4300,7.225051577572E+01,2.016464121839E+00,14.6121
0,0.4310,7.188260647045E+01,1.966593266679E+00,14.5782
0,0.4320,7.151663700063E+01,1.916953295107E+00,14.5444
0,0.4330,7.115208391326E+01,1.867542607469E+00,14.5108
0,0.4340,7.078940413199E+01,1.818359618852E+00,14.4774
0,0.4350,7.042834482863E+01,1.769402758918E+00,14.4441
0,0.4360,7.006882394527E+01,1.720670471737E+00,14.4110
0,0.4370,6.971119620787E+01,1.672161215618E+00,14.3780
0,0.4380,6.935493270204E+01,1.623873462951E+00,14.3452
0,0.4390,6.900033357035E+01,1.575805700047E+00,14.3125
0,0.4400,6.864732737895E+01,1.527956426973E+00,14.2800
0,0.4410,6.831892412167E+01,1.495002020225E+00,14.2476
0,0.4420,6.799179413395E+01,1.462196728440E+00,14.2154
0,0.4430,6.766639600727E+01,1.429539541810E+00,14.1833
0,0.4440,6.734215103781E+01,1.397029459624E+00,14.1513
0,0.4450,6.701969809692E+01,1.364665490167E+00,14.1195
0,0.4460,6.669837909256E+01,1.332446650618E+00,14.0879
0,0.4470,6.637853959228E+01,1.300371966950E+00,14.0563
0,0.4480,6.606038130311E+01,1.268440473834E+00,14.0250
0,0.4490,6.574332868256E+01,1.236651214541E+00,13.9937
0,0.4500,6.542774595097E+01,1.205003240845E+00,13.9626
0,0.4510,6.513744647364E+01,1.181543941427E+00,13.9317
0,0.4520,6.484819971447E+01,1.158188444218E+00,13.9009
0,0.4530,6.456046327746E+01,1.134936061787E+00,13.8702
0,0.4540,6.427372294238E+01,1.111786112760E+00,13.8396
0,0.4550,6.398855583784E+01,1.088737921749E+00,13.8092
0,0.4560,6.370448524797E+01,1.065790819296E+00,13.7789
0,0.4570,6.342161787135E+01,1.042944141799E+00,13.7488
0,0.4580,6.313991079421E+01,1.020197231453E+00,13.7187
0,0.4590,6.285968377119E+01,9.975494361844E-01,13.6889
0,0.4600,6.258036504981E+01,9.750001095908E-01,13.6591
0,0.4610,6.232164088832E+01,9.602165502576E-01,13.6295
0,0.4620,6.206372652571E+01,9.454969890168E-01,13.6000
0,0.4630,6.180719767542E+01,9.308410111938E-01,13.5706
0,0.4640,6.155154391124E+01,9.162482056890E-01,13.5413
0,0.4650,6.129722141196E+01,9.017181649391E-01,13.5122
0,0.4660,6.104376106114E+01,8.872504848791E-01,13.4832
0,0.4670,6.079163651076E+01,8.728447649050E-01,13.4544
0,0.4680,6.054027997006E+01,8.585006078367E-01,13.4256
0,0.4690,6.029032563123E+01,8.442176198818E-01,13.3970
0,0.4700,6.004112585638E+01,8.299954105990E-01,13.3685
0,0.4710,5.980923544656E+01,8.187857561508E-01,13.3401
0,0.4720,5.957836781211E+01,8.076236002383E-01,13.3118
0,0.4730,5.934816739301E+01,7.965086416024E-01,13.2837
0,0.4740,5.911920818564E+01,7.854405815261E-01,13.2557
0,0.4750,5.889125318679E+01,7.744191238081E-01,13.2278
0,0.4760,5.866394751383E+01,7.634439747359E-01,13.2000
0,0.4770,5.843786445709E+01,7.525148430602E-01,13.1723
0,0.4780,5.821249792638E+01,7.416314399690E-01,13.1447
0,0.4790,5.798830248001E+01,7.307934790619E-01,13.1173
0,0.4800,5.776504189535E+01,7.200006763252E-01,13.0900
0,0.4810,5.755421515654E+01,7.108320372249E-01,13.0628
0,0.4820,5.734449266955E+01,7.017014422703E-01,13.0357
0,0.4830,5.713563905543E+01,6.926086551623E-01,13.0087
0,0.4840,5.692741941353E+01,6.835534415547E-01,12.9818
0,0.4850,5.672028766373E+01,6.745355690342E-01,12.9550
0,0.4860,5.651404917999E+01,6.655548071001E-01,12.9284
0,0.4870,5.630836904778E+01,6.566109271453E-01,12.9018
0,0.4880,5.610376078825E+01,6.477037024362E-01,12.8754
0,0.4890,5.590004879202E+01,6.388329080940E-01,12.8490
0,0.4900,5.569688109760E+01,6.299983210756E-01,12.8228
0,0.4910,5.551137188620E+01,6.223603818808E-01,12.7967
0,0.4920,5.532667574893E+01,6.147534912194E-01,12.7707
0,0.4930,5.514268988907E+01,6.071774601550E-01,12.7448
0,0.4940,5.495944905385E+01,5.996321012811E-01,12.7190
0,0.4950,5.477672016561E+01,5.921172287057E-01,12.6933
0,0.4960,5.459495602964E+01,5.846326580358E-01,12.6677
0,0.4970,5.441392350980E+01,5.771782063626E-01,12.6422
0,0.4980,5.423361820763E+01,5.697536922463E-01,12.6168
0,0.4990,5.405407491374E+01,5.623589357017E-01,12.5916
0,0.5000,5.387523052931E+01,5.549937581832E-01,12.5664
0,0.5010,5.370054837943E+01,5.478686762100E-01,12.5413
0,0.5020,5.352688717033E+01,5.407719810176E-01,12.5163
0,0.5030,5.335389713566E+01,5.337035033011E-01,12.4914
0,0.5040,5.318155466603E+01,5.266630750993E-01,12.4666
0,0.5050,5.300969464723E+01,5.196505297815E-01,12.4420
0,0.5060,5.283873303295E+01,5.126657020341E-01,12.4174
0,0.5070,5.266844598003E+01,5.057084278479E-01,12.3929
0,0.5080,5.249886855818E+01,4.987785445049E-01,12.3685
0,0.5090,5.232993821660E+01,4.918758905661E-01,12.3442
0,0.5100,5.216163158833E+01,4.850003058583E-01,12.3200
0,0.5110,5.199990987696E+01,4.804214475246E-01,12.2959
0,0.5120,5.183906589820E+01,4.758604753562E-01,12.2718
0,0.5130,5.167881009739E+01,4.713172847558E-01,12.2479
0,0.5140,5.151923629287E+01,4.667917719397E-01,12.2241
0,0.5150,5.136013042912E+01,4.622838339308E-01,12.2004
0,0.5160,5.120186683234E+01,4.577933685497E-01,12.1767
0,0.5170,5.104387616661E+01,4.533202744081E-01,12.1532
0,0.5180,5.088672164414E+01,4.488644509002E-01,12.1297
0,0.5190,5.073017280635E+01,4.444257981958E-01,12.1063
0,0.5200,5.057422616613E+01,4.400042172326E-01,12.0830
0,0.5210,5.042613534589E+01,4.351714847982E-01,12.0599
0,0.5220,5.027859250693E+01,4.303572685800E-01,12.0368
0,0.5230,5.013157500908E+01,4.255614623665E-01,12.0137
0,0.5240,4.998491152886E+01,4.207839607569E-01,11.9908
0,0.5250,4.983905170669E+01,4.160246591534E-01,11.9680
