Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
0,0.3997,8.726588832145E+01,6.050737114996E+00,1.571883766464E+01
0,0.4003,8.691379022969E+01,5.958242228328E+00,1.569783404534E+01
0,0.4008,8.656474354815E+01,5.867538046394E+00,1.567683042605E+01
0,0.4013,8.621870276496E+01,5.778580619500E+00,1.565582680676E+01
0,0.4019,8.587562320469E+01,5.691327316656E+00,1.563482318746E+01
0,0.4024,8.553546101251E+01,5.605736779043E+00,1.561381956817E+01
0,0.4030,8.519817313842E+01,5.521768875352E+00,1.559281594888E+01
0,0.4035,8.486371732175E+01,5.439384658905E+00,1.557181232958E+01
0,0.4040,8.453205207582E+01,5.358546326493E+00,1.555080871029E+01
0,0.4046,8.420313667282E+01,5.279217178840E+00,1.552980509100E+01
0,0.4051,8.387693112888E+01,5.201361582628E+00,1.550880147171E+01
0,0.4057,8.355339618940E+01,5.124944934015E+00,1.548779785241E+01
0,0.4062,8.323249331460E+01,5.049933623582E+00,1.546679423312E+01
0,0.4068,8.291418466528E+01,4.976295002638E+00,1.544579061382E+01
0,0.4073,8.259843308881E+01,4.903997350834E+00,1.542478699453E+01
0,0.4079,8.228520210540E+01,4.833009845029E+00,1.540378337524E+01
0,0.4085,8.197445589454E+01,4.763302529344E+00,1.538277975595E+01
0,0.4090,8.166615928176E+01,4.694846286366E+00,1.536177613665E+01
0,0.4096,8.136027772558E+01,4.627612809441E+00,1.534077251736E+01
0,0.4101,8.105677730467E+01,4.561574576025E+00,1.531976889806E+01
0,0.4107,8.075562470534E+01,4.496704822026E+00,1.529876527877E+01
0,0.4113,8.045678720917E+01,4.432977517120E+00,1.527776165948E+01
0,0.4118,8.016023268096E+01,4.370367340980E+00,1.525675804019E+01
0,0.4124,7.986592955686E+01,4.308849660394E+00,1.523575442089E+01
0,0.4130,7.957384683273E+01,4.248400507225E+00,1.521475080160E+01
0,0.4135,7.928395405280E+01,4.188996557184E+00,1.519374718231E+01
0,0.4141,7.899622129849E+01,4.130615109379E+00,1.517274356301E+01
0,0.4147,7.871061917745E+01,4.073234066614E+00,1.515173994372E+01
0,0.4153,7.842711881291E+01,4.016831916398E+00,1.513073632443E+01
0,0.4158,7.814569183313E+01,3.961387712641E+00,1.510973270513E+01
0,0.4164,7.786631036119E+01,3.906881058016E+00,1.508872908584E+01
0,0.4170,7.758894700489E+01,3.853292086938E+00,1.506772546655E+01
0,0.4176,7.731357484690E+01,3.800601449165E+00,1.504672184725E+01
0,0.4182,7.704016743519E+01,3.748790293970E+00,1.502571822796E+01
0,0.4187,7.676869877351E+01,3.697840254875E+00,1.500471460867E+01
0,0.4193,7.649914331221E+01,3.647733434927E+00,1.498371098937E+01
0,0.4199,7.623147593922E+01,3.598452392479E+00,1.496270737008E+01
0,0.4205,7.596567197114E+01,3.549980127475E+00,1.494170375079E+01
0,0.4211,7.570170714467E+01,3.502300068209E+00,1.492070013149E+01
0,0.4217,7.543955760810E+01,3.455396058534E+00,1.489969651220E+01
0,0.4223,7.517919991304E+01,3.409252345524E+00,1.487869289291E+01
0,0.4229,7.492061100632E+01,3.363853567547E+00,1.485768927361E+01
0,0.4235,7.466376822206E+01,3.319184742744E+00,1.483668565432E+01
0,0.4241,7.440864927393E+01,3.275231257911E+00,1.481568203503E+01
0,0.4247,7.415523224755E+01,3.231978857739E+00,1.479467841573E+01
0,0.4253,7.390349559309E+01,3.189413634431E+00,1.477367479644E+01
0,0.4259,7.365341811800E+01,3.147522017656E+00,1.475267117715E+01
0,0.4265,7.340497897993E+01,3.106290764845E+00,1.473166755786E+01
0,0.4271,7.315815767977E+01,3.065706951802E+00,1.471066393856E+01
0,0.4277,7.291293405485E+01,3.025757963631E+00,1.468966031927E+01
0,0.4283,7.266928827234E+01,2.986431485956E+00,1.466865669997E+01
0,0.4290,7.242720082274E+01,2.947715496436E+00,1.464765308068E+01
0,0.4296,7.218665251348E+01,2.909598256547E+00,1.462664946139E+01
0,0.4302,7.194762446279E+01,2.872068303639E+00,1.460564584210E+01
0,0.4308,7.171009809354E+01,2.835114443243E+00,1.458464222280E+01
0,0.4314,7.147405512735E+01,2.798725741631E+00,1.456363860351E+01
0,0.4321,7.123947757877E+01,2.762891518611E+00,1.454263498421E+01
0,0.4327,7.100634774957E+01,2.727601340553E+00,1.452163136492E+01
0,0.4333,7.077464822317E+01,2.692845013637E+00,1.450062774563E+01
0,0.4339,7.054436185926E+01,2.658612577311E+00,1.447962412634E+01
0,0.4346,7.031547178840E+01,2.624894297962E+00,1.445862050704E+01
0,0.4352,7.008796140686E+01,2.591680662777E+00,1.443761688775E+01
0,0.4358,6.986181437153E+01,2.558962373804E+00,1.441661326845E+01
0,0.4365,6.963701459491E+01,2.526730342191E+00,1.439560964916E+01
0,0.4371,6.941354624025E+01,2.494975682607E+00,1.437460602987E+01
0,0.4377,6.919139371680E+01,2.463689707831E+00,1.435360241058E+01
0,0.4384,6.897054167512E+01,2.432863923517E+00,1.433259879128E+01
0,0.4390,6.875097500250E+01,2.402490023107E+00,1.431159517199E+01
0,0.4397,6.853267881857E+01,2.372559882902E+00,1.429059155270E+01
0,0.4403,6.831563847085E+01,2.343065557293E+00,1.426958793340E+01
0,0.4410,6.809983953051E+01,2.313999274119E+00,1.424858431411E+01
0,0.4416,6.788526778820E+01,2.285353430179E+00,1.422758069482E+01
0,0.4423,6.767190924993E+01,2.257120586870E+00,1.420657707552E+01
0,0.4429,6.745975013308E+01,2.229293465957E+00,1.418557345623E+01
0,0.4436,6.724877686249E+01,2.201864945474E+00,1.416456983694E+01
0,0.4442,6.703897606661E+01,2.174828055737E+00,1.414356621764E+01
0,0.4449,6.683033457375E+01,2.148175975482E+00,1.412256259835E+01
